id,link,name,surname,team_id
293,rider/Jurgen_Roelandts,JURGEN,ROELANDTS,10
484,rider/Philip_Deignan,PHILIP,DEIGNAN,2
216,rider/Loic_Vliegen,LOïC,VLIEGEN,9
464,rider/Antoine_Duchesne,ANTOINE,DUCHESNE,28
1131,rider/Ivar_Slik,IVAR,SLIK,60
1040,rider/Szymon_Rekita,SZYMON,REKITA,66
349,rider/Dylan_Van_Baarle,DYLAN,VAN BAARLE,15
1183,rider/Ivan_Gutierrez,IVÃ¡N,GUTIÃ©RREZ,13
1044,rider/Maxat_Ayazbayev,MAXAT,AYAZBAYEV,16
1115,rider/Heiner_Rodrigo_Parra,HEINER RODRIGO,PARRA,43
186,rider/Robert_Kiserlovski,ROBERT,KIšERLOVSKI,7
1266,rider/Daniel_Schorn,DANIEL,SCHORN,88
812,rider/Daniel_Eaton,DANIEL,EATON,21
189,rider/Tejay_Van_Garderen,TEJAY,VAN GARDEREN,9
489,rider/Jesus_Hernandez_3,JESúS,HERNáNDEZ,8
1018,rider/Lars_van_der_Haar,LARS,VAN DER HAAR,53
352,rider/Dennis_Van_Winden,DENNIS,VAN WINDEN,35
659,rider/Gabriel_Machado_Silva,GABRIEL,MACHADO SILVA,41
168,rider/Matteo_Pelucchi,MATTEO,PELUCCHI,3
470,rider/Tom_Stamsnijder,TOM,STAMSNIJDER,6
48,rider/Jarlinson_Pantano,JARLINSON,PANTANO,8
279,rider/Marcel_Kittel,MARCEL,KITTEL,17
129,rider/Luke_Durbridge,LUKE,DURBRIDGE,1
1150,rider/Marc_de_Maar,MARC,DE MAAR,60
1200,rider/Sebastien_Hinault,SÃ©BASTIEN,HINAULT,51
150,rider/Peter_Koning,PETER,KONING,22
1248,rider/Jonathan_Mcevoy,JONATHAN,MCEVOY,89
903,rider/Mirko_Selvaggi,MIRKO,SELVAGGI,57
1004,rider/Jerome_Coppel,JÃ©ROME,COPPEL,51
1036,rider/Artur_Detko,ARTUR,DETKO,66
75,rider/Enric_Mas,ENRIC,MAS,17
807,rider/Gavin_Mannion,GAVIN,MANNION,21
640,rider/Piotr_Brozyna,PIOTR,BROżYNA,40
404,rider/Mattia_Frapporti,MATTIA,FRAPPORTI,36
282,rider/Greg_Van_Avermaet,GREG,VAN AVERMAET,9
166,rider/Elia_Viviani,ELIA,VIVIANI,2
127,rider/Lennard_Hofstede,LENNARD,HOFSTEDE,6
32,rider/Martin_Velits,MARTIN,VELITS,17
212,rider/Pavel_Kochetkov,PAVEL,KOCHETKOV,7
613,rider/Guillaume_Martin,GUILLAUME,MARTIN,29
556,rider/Jacopo_Mosca,JACOPO,MOSCA,39
1259,rider/nino_Schurter,NINO,SCHURTER,46
431,rider/Davide_Cimolai,DAVIDE,CIMOLAI,12
1228,rider/Marcos_Garcia,MARCOS,GARCIA,43
849,rider/Songezo_Jim,SONGEZO,JIM,11
452,rider/Haimar_Zubeldia,HAIMAR,ZUBELDIA,8
1180,rider/Mikhail_Ignatyev,MIKHAIL,IGNATYEV,54
412,rider/Matej_Mohoric,MATEJ,MOHORIC,4
441,rider/Delio_Fernandez,DELIO,FERNANDEZ,37
1009,rider/Giacomo_Berlato,GIACOMO,BERLATO,26
202,rider/Bauke_Mollema,BAUKE,MOLLEMA,8
190,rider/Romain_Bardet,ROMAIN,BARDET,19
391,rider/Andrey_Amador,ANDREY,AMADOR,13
1010,rider/Gianfranco_Zilioli,GIANFRANCO,ZILIOLI,26
677,rider/Jenthe_Biermans,JENTHE,BIERMANS,7
340,rider/Pim_Ligthart,PIM,LIGTHART,24
1258,rider/Frantisek_Padour,FRANTIšEK,PADOUR,88
454,rider/Winner_Anacona,WINNER,ANACONA,13
1185,rider/Romain_Zingle,ROMAIN,ZINGLE,32
137,rider/Sjoerd_van_Ginneken,SJOERD,VAN GINNEKEN,24
1011,rider/Alessandro_Bisolti,ALESSANDRO,BISOLTI,26
1229,rider/Fredrik_Kessiakoff,FREDRIK,KESSIAKOFF,16
660,rider/Flavio_Cardoso,FLAVIO,SANTOS,41
240,rider/Pier_Paolo_De_negri,PIER PAOLO,DE NEGRI,26
126,rider/Ian_Stannard,IAN,STANNARD,2
751,rider/Paul_Ourselin,PAUL,OURSELIN,28
1061,rider/Pablo_Lastras,PABLO,LASTRAS,13
245,rider/Kazushige_Kuboki,KAZUSHIGE,KUBOKI,26
585,rider/Felix_Grossschartner,FELIX,GROSSSCHARTNER,40
882,rider/Kevin_Reza,KÃ©VIN,RÃ©ZA,12
794,rider/Angel_Vicioso,ÃNGEL,VICIOSO,7
87,rider/Marco_Marcato,MARCO,MARCATO,4
27,rider/Robert_Gesink,ROBERT,GESINK,14
712,rider/Rafael_Andriato,RAFAEL,ANDRIATO,39
1058,rider/Michael_Rogers,MICHAEL,ROGERS,71
960,rider/Sebastien_Chavanel,SéBASTIEN,CHAVANEL,12
821,rider/Sepp_Kuss,SEPP,KUSS,44
251,rider/Pieter_Serry,PIETER,SERRY,17
1168,rider/Wesley_Sulzberger,WESLEY,SULZBERGER,50
1146,rider/Gert_Joeaar,GERT,JõEääR,32
160,rider/Calvin_Watson,CALVIN,WATSON,22
1128,rider/Bjorn_Leukemans,BJORN,LEUKEMANS,29
369,rider/Tony_Martin,TONY,MARTIN,7
1184,rider/nicki_Sorensen,NICKI,SÃ¸RENSEN,71
98,rider/Ondrej_Cink,ONDREJ,CINK,5
120,rider/Ben_O_Connor,BEN,O'CONNOR,11
524,rider/Matvey_Mamykin,MATVEY,MAMYKIN,7
426,rider/Warren_Barguil,WARREN,BARGUIL,6
258,rider/Alessandro_Tonelli,ALESSANDRO,TONELLI,25
1224,rider/Jean_marc_Marino,JEAN-MARC,MARINO,85
1225,rider/Kevin_Seeldraeyers,KEVIN,SEELDRAEYERS,29
302,rider/Dylan_Groenewegen,DYLAN,GROENEWEGEN,14
965,rider/Antoine_Demoitie,ANTOINE,DEMOITIE,29
314,rider/Bert_Van_Lerberghe,BERT,VAN LERBERGHE,33
485,rider/Arnold_Jeannesson,ARNOLD,JEANNESSON,31
406,rider/Jeremy_Roy,JéRéMY,ROY,12
803,rider/Rob_Britton,ROB,BRITTON,44
47,rider/Michael_Valgren_Andersen,MICHAEL,VALGREN,16
1074,rider/Gert_Steegmans,GERT,STEEGMANS,69
196,rider/Pawel_Poljanski,PAWEL,POLJANSKI,3
1021,rider/Lukas_Jaun,LUKAS,JAUN,63
486,rider/Angelo_Tulik,ANGELO,TULIK,28
306,rider/Jasper_De_Buyst,JASPER,DE BUYST,10
54,rider/Odd_Christian_Eiking,ODD CHRISTIAN,EIKING,12
970,rider/Josef_Cerny,JOSEF,CERNY,40
1244,rider/Sebastian_Lander,SEBASTIAN,LANDER,9
744,rider/Brice_Feillu,BRICE,FEILLU,31
541,rider/Andrey_Zeits,ANDREY,ZEITS,16
1080,rider/Yauheni_Hutarovich,YAUHENI,HUTAROVICH,72
467,rider/Benjamin_King_1,BENJAMIN,KING,11
490,rider/Remy_Di_Gregorio,RéMY,DI GRéGORIO,37
937,rider/Marcin_Mrosek,MARCIN,MROZEK,40
991,rider/Fabian_Wegmann,FABIAN,WEGMANN,62
506,rider/Jonathan_Castroviejo,JONATHAN,CASTROVIEJO,13
65,rider/Ruben_Guerreiro,RUBEN,GUERREIRO,8
331,rider/Stefan_Kung,STEFAN,KüNG,9
1052,rider/Bruno_Langlois,BRUNO,LANGLOIS,68
1014,rider/Riccardo_Stacchiotti,RICCARDO,STACCHIOTTI,26
926,rider/Marcel_Wyss,MARCEL,WYSS,51
257,rider/Luka_Mezgec,LUKA,MEZGEC,1
488,rider/Edvaldas_Siskevicius,EVALDAS,SISKEVICIUS,37
123,rider/Chun_Kai_Feng,CHUN KAI,FENG,5
910,rider/Sebastien_Turgot,SéBASTIEN,TURGOT,19
77,rider/Jeremy_Maison,JéRéMY,MAISON,12
589,rider/Maximilian_Schachmann,MAXIMILIAN,SCHACHMANN,17
1103,rider/Dennis_Vanendert,DENNIS,VANENDERT,10
933,rider/Karel_Hnik,KAREL,HNIK,59
774,rider/Giuseppe_Fonzi,GIUSEPPE,FONZI,39
1108,rider/Cristian_Delle_Stelle,CRISTIAN,DELLE STELLE,40
519,rider/Alexandre_Geniez,ALEXANDRE,GENIEZ,19
1114,rider/Stefan_Schumacher,STEFAN,SCHUMACHER,40
847,rider/Ruben_Zepuntke,RUBEN,ZEPUNTKE,47
1126,rider/Boris_Vallee,BORIS,VALLÃ©E,10
396,rider/Tomasz_Marczynski,TOMASZ,MARCZYNSKI,10
51,rider/Domenico_Pozzovivo,DOMENICO,POZZOVIVO,19
1090,rider/Tom_Veelers,TOM,VEELERS,53
1118,rider/Jose_Cayetano_Sarmiento,JOSE CAYETANO,SARMIENTO,77
425,rider/Jacopo_Guarnieri,JACOPO,GUARNIERI,12
787,rider/Jose_Goncalves,JOSÃ©,GONÃ§ALVES,7
547,rider/Arnaud_Demare,ARNAUD,DÃ©MARE,12
435,rider/Zico_Waeytens,ZICO,WAEYTENS,6
408,rider/Fausto_Masnada,FAUSTO,MASNADA,36
532,rider/Bart_De_Clercq,BART,DE CLERCQ,10
676,rider/Romain_Cardis,ROMAIN,CARDIS,28
456,rider/Quentin_Pacher,QUENTIN,PACHER,37
237,rider/Albert_Timmer,ALBERT,TIMMER,6
1049,rider/Adrian_Banaszek,ADRIAN,BANASZEK,59
14,rider/Anthony_Roux,ANTHONY,ROUX,12
318,rider/Gianni_Moscon,GIANNI,MOSCON,2
823,rider/Yousef_Mohamed_Mirza,YOUSEF MOHAMED,MIRZA,4
563,rider/Mickael_Delage,MICKAÃ«L,DELAGE,12
1024,rider/Eduardo_Sepulveda,EDUARDO,SEPÃºLVEDA,55
558,rider/Lorenzo_Rota,LORENZO,ROTA,25
758,rider/Thomas_Voeckler,THOMAS,VOECKLER,28
407,rider/Sam_Bewley,SAM,BEWLEY,1
213,rider/Fumiyuki_Beppu,FUMIYUKI,BEPPU,8
534,rider/Enrico_Barbin,ENRICO,BARBIN,25
1137,rider/Patrick_Schelling,PATRICK,SCHELLING,51
8,rider/Edward_Theuns,EDWARD,THEUNS,8
528,rider/Egan_Bernal,EGAN ARLEY,BERNAL,36
387,rider/Truls_Korsaeth,TRULS,KORSAETH,16
93,rider/Jacques_Janse_van_Rensburg,JACQUES,JANSE VAN RENSBURG,11
390,rider/Sebastien_Reichenbach,SEBASTIEN,REICHENBACH,12
455,rider/Maxime_Bouet,MAXIME,BOUET,31
409,rider/Toms_Skujins,TOMS,SKUJIņš,15
255,rider/Jonathan_Dibben,JONATHAN,DIBBEN,2
959,rider/Sebastien_Minard,SéBASTIEN,MINARD,19
595,rider/Juan_Sebastian_Molano,JUAN SEBASTIAN,MOLANO,42
808,rider/Danny_Pate,DANNY,PATE,44
1117,rider/Edward_Fabian_Diaz,EDWARD FABIáN,DíAZ,77
1063,rider/Timothy_Roe,TIMOTHY,ROE,50
776,rider/Zhandos_Bizhigitov,ZHANDOS,BIZHIGITOV,16
1079,rider/Jonas_Ahlstrand,JONAS,AHLSTRAND,32
221,rider/Andrea_Peron,ANDREA,PERON,27
845,rider/David_Tanner,DAVID,TANNER,51
511,rider/Jurgen_Van_Den_Broeck,JURGEN,VAN DEN BROECK,14
80,rider/Gregor_Muhlberger,GREGOR,MüHLBERGER,3
146,rider/Lawrence_Warbasse,LARRY,WARBASSE,22
841,rider/Davide_Malacarne,DAVIDE,MALACARNE,16
482,rider/Aleksey_Lutsenko,ALEXEY,LUTSENKO,16
71,rider/Vegard_Stake_Laengen,VEGARD STAKE,LAENGEN,4
1159,rider/Tiziano_Dall_antonia,TIZIANO,DALL'ANTONIA,57
731,rider/Jonathan_Hivert,JONATHAN,HIVERT,28
856,rider/Jack_Bobridge,JACK,BOBRIDGE,8
1034,rider/Przemyslaw_Kasperkiewicz,PRZEMYSłAW,KASPERKIEWICZ,66
795,rider/Andre_Greipel,ANDRÃ©,GREIPEL,10
700,rider/Remy_Mertz,REMY,MERTZ,10
603,rider/Alexis_Vuillermoz,ALEXIS,VUILLERMOZ,19
760,rider/Samuel_Dumoulin,SAMUEL,DUMOULIN,19
1070,rider/Campbell_Flakemore,CAMPBELL,FLAKEMORE,9
191,rider/nairo_Quintana,NAIRO,QUINTANA,13
183,rider/Rafal_Majka,RAFAł,MAJKA,3
1097,rider/Miguel_Angel_Rubiano,MIGUEL ANGEL,RUBIANO,77
24,rider/nathan_Haas,NATHAN,HAAS,11
782,rider/Jose_Mendes,JOSÃ©,MENDES,3
507,rider/Daniel_Moreno,DANIEL,MORENO,13
1233,rider/Romain_Lemarchand,ROMAIN,LEMARCHAND,38
85,rider/Paolo_Tiralongo,PAOLO,TIRALONGO,16
1020,rider/Colin_Stussi,COLIN,STüSSI,63
1172,rider/Robbie_Hucker,ROBBIE,HUCKER,50
11,rider/Mark_Renshaw,MARK,RENSHAW,11
327,rider/Quentin_Jauregui,QUENTIN,JAUREGUI,19
546,rider/Nikolas_Maes,NIKOLAS,MAES,10
549,rider/Simon_Spilak,SIMON,Å PILAK,7
953,rider/Cedric_Pineau,CÃ©DRIC,PINEAU,12
837,rider/Anthony_Giacoppo,ANTHONY,GIACOPPO,18
980,rider/Pirmin_Lang,PIRMIN,LANG,51
756,rider/Jerome_Cousin,JéRôME,COUSIN,32
1060,rider/Travis_Meyer,TRAVIS,MEYER,50
72,rider/Samuel_Jenner,SAMUEL,JENNER,18
383,rider/Tiesj_Benoot,TIESJ,BENOOT,10
874,rider/Daniel_Diaz,DANIEL,DIAZ,37
604,rider/Lukasz_Owsian,LUKASZ,OWSIAN,40
643,rider/Joey_Rosskopf,JOEY,ROSSKOPF,9
548,rider/Filippo_Pozzato,FILIPPO,POZZATO,39
73,rider/Sebastian_Henao,SEBASTIáN,HENAO,2
971,rider/Simon_Pellaud,SIMON,PELLAUD,51
896,rider/Jaroslaw_Marycz,JAROSLAW,MARYCZ,40
104,rider/Alexey_Vermeulen,ALEXEY,VERMEULEN,14
699,rider/Kris_Boeckmans,KRIS,BOECKMANS,10
961,rider/Ralf_Matzka,RALF,MATZKA,56
584,rider/Alejandro_Valverde,ALEJANDRO,VALVERDE,13
743,rider/Dimitri_Peyskens,DIMITRI,PEYSKENS,30
218,rider/Manuele_Boaro,MANUELE,BOARO,5
851,rider/Patrick_Lane,PATRICK,LANE,18
1251,rider/Angelo_Pagani,ANGELO,PAGANI,76
1067,rider/Daniel_McConnell,DANIEL,MCCONNELL,69
691,rider/Kevin_Deltombe,KEVIN,DELTOMBE,33
701,rider/Aime_De_Gendt,AIME,DE GENDT,33
