gc,height,id,one_day,pcs_rank,rider_name,sprint,time_trial,uci_rank,weight
9506,1.78,27,9622,3.0,VALVERDE ALEJANDRO,3240,1663,4.0,61.0
10512,1.76,28,728,10.0,CONTADOR ALBERTO,225,2103,11.0,61.0
748,1.79,29,528,541.0,DE KORT KOEN,467,119,812.0,69.0
864,1.8,30,4322,12.0,DEGENKOLB JOHN,6237,184,14.0,77.0
899,1.75,31,1624,31.0,FELLINE FABIO,1257,443,24.0,68.0
153,1.86,32,153,227.0,GOGL MICHAEL,9,38,210.0,70.0
695,1.82,33,219,876.0,IRIZAR MARKEL,128,554,,73.0
4090,1.81,34,2235,15.0,MOLLEMA BAUKE,1137,444,26.0,64.0
783,1.73,35,222,105.0,PANTANO JARLINSON,172,123,122.0,61.0
4648,1.79,36,781,221.0,ZUBELDIA HAIMAR,216,660,376.0,68.0
4917,1.72,37,139,11.0,PORTE RICHIE,135,1675,8.0,62.0
1747,1.79,38,481,73.0,CARUSO DAMIANO,559,391,72.0,67.0
279,1.8,39,372,374.0,DE MARCHI ALESSANDRO,109,178,539.0,65.0
382,1.93,40,316,143.0,KÜNG STEFAN,110,592,238.0,83.0
1100,1.8,41,285,475.0,MOINARD AMAëL,134,96,794.0,69.0
2568,1.78,42,1026,161.0,ROCHE NICOLAS,818,530,140.0,70.0
632,1.96,43,463,326.0,SCHAR MICHAEL,413,210,419.0,74.0
2513,1.81,44,7851,1.0,VAN AVERMAET GREG,3950,338,1.0,74.0
405,1.76,45,348,470.0,WYSS DANILO,419,203,677.0,65.0
2335,1.83,46,644,40.0,ARU FABIO,84,290,39.0,66.0
1272,1.75,47,445,186.0,CATALDO DARIO,367,862,318.0,64.0
3841,1.82,48,1428,45.0,FUGLSANG JAKOB,626,648,35.0,68.0
1710,1.81,49,1065,406.0,GRIVKO ANDREI,419,810,643.0,70.0
570,1.83,50,162,,GRUZDEV DMITRIY,91,532,,72.0
183,1.72,51,59,812.0,KOZHATAYEV BAKHTIYAR,21,75,1425.0,62.0
598,1.75,52,745,102.0,LUTSENKO ALEXEY,316,238,91.0,70.0
714,1.79,53,649,120.0,VALGREN MICHAEL,218,218,110.0,71.0
926,1.89,54,163,211.0,ZEITS ANDREY,51,280,245.0,73.0
1248,1.73,55,424,62.0,MEINTJES LOUIS,61,223,69.0,61.0
1156,1.67,56,141,189.0,ATAPUMA JOHN DARWIN,89,54,165.0,60.0
395,1.71,57,216,710.0,BONO MATTEO,98,91,2503.0,60.0
536,1.7,58,513,,DURASEK KRISTIJAN,117,78,,56.0
398,1.95,59,284,276.0,LAENGEN VEGARD STAKE,57,167,329.0,80.0
1611,1.74,60,2908,213.0,MARCATO MARCO,1738,84,203.0,67.0
711,1.72,61,1881,286.0,MORI MANUELE,910,79,247.0,62.0
633,1.79,62,1285,146.0,SWIFT BEN,2189,205,202.0,69.0
1908,1.75,63,2518,20.0,ULISSI DIEGO,1148,299,15.0,61.0
688,1.82,64,3357,25.0,DÉMARE ARNAUD,4192,111,22.0,78.0
265,1.85,65,695,358.0,CIMOLAI DAVIDE,980,72,555.0,69.0
650,1.8,66,814,1027.0,DELAGE MICKAëL,589,39,1649.0,70.0
231,1.89,67,546,355.0,GUARNIERI JACOPO,712,39,327.0,78.0
633,1.9,68,449,322.0,KONOVALOVAS IGNATAS,141,518,282.0,75.0
472,1.8,69,174,744.0,LE GAC OLIVIER,108,7,1009.0,70.0
504,1.78,70,412,233.0,MOLARD RUDY,105,99,259.0,62.0
4065,1.8,71,754,26.0,PINOT THIBAUT,135,424,32.0,63.0
1043,1.84,72,1594,94.0,VICHOT ARTHUR,951,81,84.0,69.0
1644,1.64,73,741,34.0,CHAVES JOHAN ESTEBAN,121,146,19.0,55.0
1826,1.72,74,2445,,ALBASINI MICHAEL,1283,200,,65.0
971,1.87,75,778,64.0,DURBRIDGE LUKE,191,1289,75.0,78.0
609,1.9,76,1793,310.0,HAYMAN MATHEW,1074,77,476.0,78.0
